Venue,Date,Start,End,Title,Event
Ventnor Arts Club,2024-07-24,16:30,17:30,Middle Age Crisis,https://ventnorexchange.littleboxoffice.com/events/76488
The Flowersbrook Inn,2024-07-24,17:00,18:00,Rob Auton: ‘The Eyes Open and Shut Show’,https://ventnorexchange.littleboxoffice.com/events/72002
Ingrams Yard,2024-07-24,17:00,18:00,The Last King of Porn,https://ventnorexchange.littleboxoffice.com/events/76415
The Magpie,2024-07-24,17:30,18:30,OperaCocktail,https://ventnorexchange.littleboxoffice.com/events/78149
The Big Top,2024-07-24,18:00,19:00,"Murder, She Didn't Write",https://ventnorexchange.littleboxoffice.com/events/69557
Pier Street Playhouse,2024-07-24,18:00,19:00,Isabella: The Last Queen of the Wight,https://ventnorexchange.littleboxoffice.com/events/76505
The Flowersbrook Inn,2024-07-24,19:00,20:00,Huge Davies (Work in Progress),https://ventnorexchange.littleboxoffice.com/events/72001
Ventnor Library,2024-07-24,19:00,20:30,The Seven Ages,https://ventnorexchange.littleboxoffice.com/events/76550
Ventnor Arts Club,2024-07-24,19:30,20:30,Jack & Sam's Comedy Adventure,https://ventnorexchange.littleboxoffice.com/events/72563
St Catherine's Church,2024-07-24,19:30,20:45,Doug Alldred & The Silver Lining,https://ventnorexchange.littleboxoffice.com/events/76372
The Magpie,2024-07-24,19:30,20:30,BIG QUIFFY BINGO with Boogaloo Stu,https://ventnorexchange.littleboxoffice.com/events/76554
Ingrams Yard,2024-07-24,19:30,20:30,Micky Overman: Work In Progress,https://ventnorexchange.littleboxoffice.com/events/77818
The Flowersbrook Inn,2024-07-24,21:00,22:30,Chris Milner-Journeyman,https://ventnorexchange.littleboxoffice.com/events/76551
The Magpie,2024-07-24,21:15,22:15,Christopher Hall: Work In Progress,https://ventnorexchange.littleboxoffice.com/events/72887
Ingrams Yard,2024-07-24,21:30,22:30,Niall Moorjani’s The Green Knight (But It’s Gay),https://ventnorexchange.littleboxoffice.com/events/76418
Ventnor Arts Club,2024-07-24,21:30,22:30,Confessions of a Card Cheat,https://ventnorexchange.littleboxoffice.com/events/76546
35 Madeira Rd,2024-07-25,10:30,12:30,art-house-life: Reality Disrupted,https://ventnorexchange.littleboxoffice.com/events/78053
Ingrams Yard,2024-07-25,11:00,12:00,After the Revolution & The Next 29 and a Half Years,https://ventnorexchange.littleboxoffice.com/events/76352
The Nest,2024-07-25,11:00,12:00,Summer Soundwaves Sound Bath,https://ventnorexchange.littleboxoffice.com/events/81838
The Flowersbrook Inn,2024-07-25,12:00,13:30,Drawing Club with Katy Rose Design,https://ventnorexchange.littleboxoffice.com/events/78164
The Big Top,2024-07-25,13:00,15:00,Revel Puck Circus: The Nose Dive Assembly,https://ventnorexchange.littleboxoffice.com/events/69735
The Magpie,2024-07-25,13:00,14:00,Naughty or Neurodiverse? I'm a Mentalist - the Magic of Angus Baskerville,https://ventnorexchange.littleboxoffice.com/events/75461
Pier Street Playhouse,2024-07-25,13:00,14:00,Boulevard Days: A Play with Songs,https://ventnorexchange.littleboxoffice.com/events/75662
Ventnor Exchange,2024-07-25,13:00,14:00,A Walk Through The Solar System,https://ventnorexchange.littleboxoffice.com/events/76358
Ingrams Yard,2024-07-25,14:00,15:00,Procreate,https://ventnorexchange.littleboxoffice.com/events/75699
35 Madeira Rd,2024-07-25,14:00,16:30,art-house-life: Reality Disrupted,https://ventnorexchange.littleboxoffice.com/events/78054
Pier Street Playhouse,2024-07-25,15:00,16:30,An Afternoon of Comedy and Tragedy,https://ventnorexchange.littleboxoffice.com/events/76373
Ventnor Arts Club,2024-07-25,16:30,17:30,Frankenstein: The True Story,https://ventnorexchange.littleboxoffice.com/events/75700
The Flowersbrook Inn,2024-07-25,17:00,18:00,Joe Wells : Another Autistic Show (Work in Progress),https://ventnorexchange.littleboxoffice.com/events/71980
Ingrams Yard,2024-07-25,17:00,18:00,The Last King of Porn,https://ventnorexchange.littleboxoffice.com/events/76416
The Magpie,2024-07-25,17:30,18:30,Glenn Moore: Work In Progress,https://ventnorexchange.littleboxoffice.com/events/76462
The Big Top,2024-07-25,18:00,19:00,"Murder, She Didn't Write",https://ventnorexchange.littleboxoffice.com/events/69558
Pier Street Playhouse,2024-07-25,18:00,19:00,Isabella: The Last Queen of the Wight,https://ventnorexchange.littleboxoffice.com/events/76506
The Flowersbrook Inn,2024-07-25,19:00,20:00,Ed Night: The Plunge (Work In Progress),https://ventnorexchange.littleboxoffice.com/events/75452
Ventnor Arts Club,2024-07-25,19:30,20:30,Richard Pulsford: Get Rich Quick,https://ventnorexchange.littleboxoffice.com/events/72596
Holy Trinity Church,2024-07-25,19:30,21:00,Bob Dylan: A Quest for Meaning,https://ventnorexchange.littleboxoffice.com/events/75665
Ingrams Yard,2024-07-25,19:30,20:30,FAKE,https://ventnorexchange.littleboxoffice.com/events/76473
The Magpie,2024-07-25,19:30,20:30,BIG QUIFFY BINGO with Boogaloo Stu,https://ventnorexchange.littleboxoffice.com/events/76767
The Flowersbrook Inn,2024-07-25,21:00,23:00,Fleeper,https://ventnorexchange.littleboxoffice.com/events/77790
The Magpie,2024-07-25,21:15,22:15,Shaparak Khorsandi: Scatter Brain (Work In Progress),https://ventnorexchange.littleboxoffice.com/events/76494
Ingrams Yard,2024-07-25,21:30,22:30,Steve Bugeja: Shiny (Work in Progress),https://ventnorexchange.littleboxoffice.com/events/76451
Ventnor Arts Club,2024-07-25,21:30,22:30,Confessions of a Card Cheat,https://ventnorexchange.littleboxoffice.com/events/76547
35 Madeira Rd,2024-07-26,10:30,12:30,art-house-life: Reality Disrupted,https://ventnorexchange.littleboxoffice.com/events/78055
Ingrams Yard,2024-07-26,11:00,12:00,After the Revolution & The Next 29 and a Half Years,https://ventnorexchange.littleboxoffice.com/events/76635
The Big Top,2024-07-26,13:00,15:00,Revel Puck Circus: The Nose Dive Assembly,https://ventnorexchange.littleboxoffice.com/events/69736
Ventnor Exchange,2024-07-26,13:00,14:00,A Walk Through The Solar System,https://ventnorexchange.littleboxoffice.com/events/76359
Pier Street Playhouse,2024-07-26,13:00,14:00,Steve Love's 'World Tour of the Isle of Wight' Show,https://ventnorexchange.littleboxoffice.com/events/76549
Ingrams Yard,2024-07-26,14:00,15:00,Procreate,https://ventnorexchange.littleboxoffice.com/events/76419
35 Madeira Rd,2024-07-26,14:00,16:30,art-house-life: Reality Disrupted,https://ventnorexchange.littleboxoffice.com/events/78056
Pier Street Playhouse,2024-07-26,15:00,16:30,An Afternoon of Comedy and Tragedy,https://ventnorexchange.littleboxoffice.com/events/76374
The Flowersbrook Inn,2024-07-26,15:00,16:00,Pirates' Prov - Avast!,https://ventnorexchange.littleboxoffice.com/events/76427
Ingrams Yard,2024-07-26,15:00,16:00,Wiper & True Beer Tastings,https://ventnorexchange.littleboxoffice.com/events/79942
Salisbury Gardens,2024-07-26,16:00,17:00,Whatever the Weather - A Storywalk,https://ventnorexchange.littleboxoffice.com/events/76619
Ventnor Arts Club,2024-07-26,16:30,17:30,Frankenstein: The True Story,https://ventnorexchange.littleboxoffice.com/events/76420
The Flowersbrook Inn,2024-07-26,17:00,18:00,Joe Wells : Another Autistic Show (Work in Progress),https://ventnorexchange.littleboxoffice.com/events/71982
Ingrams Yard,2024-07-26,17:00,18:00,The Girl and the Snake Witch,https://ventnorexchange.littleboxoffice.com/events/76680
The Magpie,2024-07-26,17:30,18:30,Sara Barron: Anything for You (Work in Progress),https://ventnorexchange.littleboxoffice.com/events/76461
The Big Top,2024-07-26,18:00,19:00,HOME,https://ventnorexchange.littleboxoffice.com/events/69559
Pier Street Playhouse,2024-07-26,18:00,19:00,Isabella: The Last Queen of the Wight,https://ventnorexchange.littleboxoffice.com/events/76507
Ingrams Yard,2024-07-26,18:00,19:00,Wiper & True Beer Tastings,https://ventnorexchange.littleboxoffice.com/events/79943
The Flowersbrook Inn,2024-07-26,19:00,20:30,Jack's Comedy Club,https://ventnorexchange.littleboxoffice.com/events/69775
Ventnor Arts Club,2024-07-26,19:30,20:30,Richard Pulsford: Get Rich Quick,https://ventnorexchange.littleboxoffice.com/events/73153
The Magpie,2024-07-26,19:30,20:30,Drunk Women Solving Crime,https://ventnorexchange.littleboxoffice.com/events/75697
Ingrams Yard,2024-07-26,19:30,22:30,FAKE,https://ventnorexchange.littleboxoffice.com/events/76474
The Big Top,2024-07-26,21:00,22:45,Joe Black: Club Cataclysm,https://ventnorexchange.littleboxoffice.com/events/69540
The Magpie,2024-07-26,21:15,22:15,Olga Koch Comes From Money (Work in Progress),https://ventnorexchange.littleboxoffice.com/events/71984
Ingrams Yard,2024-07-26,21:30,22:30,Steve Bugeja: Shiny (Work in Progress),https://ventnorexchange.littleboxoffice.com/events/76452
Ventnor Arts Club,2024-07-26,21:30,22:30,Confessions of a Card Cheat,https://ventnorexchange.littleboxoffice.com/events/76548
35 Madeira Rd,2024-07-27,10:30,12:30,art-house-life: Reality Disrupted,https://ventnorexchange.littleboxoffice.com/events/78057
Ingrams Yard,2024-07-27,11:00,12:00,Elemental Tales,https://ventnorexchange.littleboxoffice.com/events/76545
The Flowersbrook Inn,2024-07-27,12:30,13:30,SESKA: DON'T WEE YOUR PANTS,https://ventnorexchange.littleboxoffice.com/events/72602
The Big Top,2024-07-27,13:00,15:00,Revel Puck Circus: The Nose Dive Assembly,https://ventnorexchange.littleboxoffice.com/events/69738
Ventnor Exchange,2024-07-27,13:00,14:00,A Walk Through The Solar System,https://ventnorexchange.littleboxoffice.com/events/76360
Pier Street Playhouse,2024-07-27,13:00,14:00,Visions of the Suburbs,https://ventnorexchange.littleboxoffice.com/events/76509
Ingrams Yard,2024-07-27,14:00,15:00,I'M IN LOVE WITH A DEAD GIRL,https://ventnorexchange.littleboxoffice.com/events/76486
Salisbury Gardens,2024-07-27,14:00,15:00,Whatever the Weather - A Storywalk,https://ventnorexchange.littleboxoffice.com/events/76620
35 Madeira Rd,2024-07-27,14:00,16:30,art-house-life: Reality Disrupted,https://ventnorexchange.littleboxoffice.com/events/78058
The Flowersbrook Inn,2024-07-27,15:00,16:00,Pirates' Prov - Avast!,https://ventnorexchange.littleboxoffice.com/events/77218
Ingrams Yard,2024-07-27,15:00,16:00,Wiper & True Beer Tastings,https://ventnorexchange.littleboxoffice.com/events/79944
Pier Street Playhouse,2024-07-27,15:30,16:30,I Knew You - An Eras Tour of Poetry,https://ventnorexchange.littleboxoffice.com/events/76464
The Flowersbrook Inn,2024-07-27,17:00,18:00,Ania Magliano (Work in Progress),https://ventnorexchange.littleboxoffice.com/events/71987
Ingrams Yard,2024-07-27,17:00,18:00,Alex Kitson: Must I Paint You a Picture (Work in Progress),https://ventnorexchange.littleboxoffice.com/events/72622
The Magpie,2024-07-27,17:30,18:30,Pinocchio (A new adaptation by Pink Cow Theatre),https://ventnorexchange.littleboxoffice.com/events/76345
The Big Top,2024-07-27,18:00,19:00,HOME,https://ventnorexchange.littleboxoffice.com/events/69782
Pier Street Playhouse,2024-07-27,18:00,19:00,Wyrd Wight Tales,https://ventnorexchange.littleboxoffice.com/events/76687
Ingrams Yard,2024-07-27,18:00,19:00,Wiper & True Beer Tastings,https://ventnorexchange.littleboxoffice.com/events/79945
The Flowersbrook Inn,2024-07-27,19:00,20:00,Josh Baulf: Rumble,https://ventnorexchange.littleboxoffice.com/events/71994
Ingrams Yard,2024-07-27,19:30,20:30,KIZZA: BIGFUNKYMAGICMAN,https://ventnorexchange.littleboxoffice.com/events/72604
Ventnor Arts Club,2024-07-27,19:30,20:30,Richard Pulsford: Get Rich Quick,https://ventnorexchange.littleboxoffice.com/events/73154
The Magpie,2024-07-27,19:30,20:30,Drunk Women Solving Crime,https://ventnorexchange.littleboxoffice.com/events/76861
The Big Top,2024-07-27,21:00,22:45,Joe Black: Club Cataclysm,https://ventnorexchange.littleboxoffice.com/events/69541
The Magpie,2024-07-27,21:15,22:30,Tropic Fire!,https://ventnorexchange.littleboxoffice.com/events/78025
Ventnor Arts Club,2024-07-27,21:30,23:00,Laurie McVay and the High Rollers: The Soul of the Blues,https://ventnorexchange.littleboxoffice.com/events/75447
Ingrams Yard,2024-07-27,21:30,22:30,Bella Hull: Work in Progress,https://ventnorexchange.littleboxoffice.com/events/76455
35 Madeira Rd,2024-07-28,10:30,12:30,art-house-life: Reality Disrupted,https://ventnorexchange.littleboxoffice.com/events/78059
Ingrams Yard,2024-07-28,11:00,12:00,Earlier Times Salt Did Flow,https://ventnorexchange.littleboxoffice.com/events/78150
The Flowersbrook Inn,2024-07-28,12:30,13:30,SESKA: DON'T WEE YOUR PANTS,https://ventnorexchange.littleboxoffice.com/events/73019
The Big Top,2024-07-28,13:00,15:00,Revel Puck Circus: The Nose Dive Assembly,https://ventnorexchange.littleboxoffice.com/events/69740
Ventnor Exchange,2024-07-28,13:00,14:00,A Walk Through The Solar System,https://ventnorexchange.littleboxoffice.com/events/76361
Ingrams Yard,2024-07-28,14:00,15:00,I'M IN LOVE WITH A DEAD GIRL,https://ventnorexchange.littleboxoffice.com/events/76489
Pier Street Playhouse,2024-07-28,14:00,14:30,The Madness of Queen Dido,https://ventnorexchange.littleboxoffice.com/events/76508
35 Madeira Rd,2024-07-28,14:00,16:30,art-house-life: Reality Disrupted,https://ventnorexchange.littleboxoffice.com/events/78060
The Flowersbrook Inn,2024-07-28,15:00,16:00,Pirates' Prov - Avast!,https://ventnorexchange.littleboxoffice.com/events/77219
Pier Street Playhouse,2024-07-28,15:30,16:30,I Knew You - An Eras Tour of Poetry,https://ventnorexchange.littleboxoffice.com/events/76466
Ventnor Arts Club,2024-07-28,16:30,17:30,Miranda Reveals All,https://ventnorexchange.littleboxoffice.com/events/76491
The Flowersbrook Inn,2024-07-28,17:00,18:00,Ania Magliano (Work in Progress),https://ventnorexchange.littleboxoffice.com/events/72762
Ingrams Yard,2024-07-28,17:00,18:00,Alex Kitson: Must I Paint You a Picture (WIP),https://ventnorexchange.littleboxoffice.com/events/73015
The Magpie,2024-07-28,17:30,18:30,Pinocchio (A new adaptation by Pink Cow Theatre),https://ventnorexchange.littleboxoffice.com/events/76673
The Big Top,2024-07-28,18:00,19:00,HOME,https://ventnorexchange.littleboxoffice.com/events/69561
Pier Street Playhouse,2024-07-28,18:00,19:00,Wyrd Wight Tales,https://ventnorexchange.littleboxoffice.com/events/76713
The Flowersbrook Inn,2024-07-28,19:00,20:00,Josh Baulf: Rumble,https://ventnorexchange.littleboxoffice.com/events/71996
The Magpie,2024-07-28,19:30,20:30,Baron Fortitude: Victorian Rapper,https://ventnorexchange.littleboxoffice.com/events/71983
Ingrams Yard,2024-07-28,19:30,20:30,KIZZA: BIGFUNKYMAGICMAN,https://ventnorexchange.littleboxoffice.com/events/73021
Ventnor Arts Club,2024-07-28,19:30,20:30,Hunter Davies: Letters to Margaret,https://ventnorexchange.littleboxoffice.com/events/76763
The Magpie,2024-07-28,21:15,22:30,"EAT, SLAY, LOVE - A Quivers Stand Up Show",https://ventnorexchange.littleboxoffice.com/events/69526
Ingrams Yard,2024-07-28,21:30,22:30,Bella Hull: Work in Progress,https://ventnorexchange.littleboxoffice.com/events/76456
